,受理番号,相談種別ID,【相談内容分類：ガイドブックmission1に準拠して】,,件名,相談内容,相談備考,対応状況,処置備考,【FAQ用】検索キーワード,案件項目【Mission1】,提示する対策項目【Mission2～4】,【FAQ用】標準回答（案）,【FAQ用】対策のための参考資料・サイト（ここからセキュリティ等を参照）
110,79,3,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,特定のセキュリティ対策ソフト販売会社について,"㈱ネクスト社よりセキュリティ対策ソフトの売込みがあった。
この販売会社は信頼できるか教えてください。
尚、セキュリティに関して知識不足で対策ソフトを理解できません。

※中小企業団体中央会のセキュリティセミナーに参加しているので、東京都サイバーセキュリティ相談窓口を知りました。","株式会社ネクスト　通信機器販売会社(新宿区）
https://www.next-company.co.jp/company/","販売会社の信用度については、消費者ホットライン１８８番への問い合せを紹介した。
セキュリティ対策ソフトの内容確認についていはＩＰＡ相談窓口を案内した。",,,,ガイドブックP.50,,
111,83,3,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,ＵＴＭ製品について教えてください。,"弊社にＵＴＭを販売にきている。
セキュリテイに関してはシマンテックのウイルス対策ソフト導入しているが、ＵＴＭを購入する必要性について教えてください。
販売担当者は個人情報保護に有効と言っています。",,"個人使用ＰＣ環境ではセキュリティ対策ソフトでのウイルス対策は最低限です。
ＵＴＭ導入環境（ＷＡＦ）は業務上の重要情報や個人情報保護管理に関して情報漏洩等の対策にはより有効であることを説明した。",,,,ガイドブックP.56,,
112,91,1,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,"サイバー被害等を受けた場合、今後
被害を受けないための技術的対策を教えてもらいたい。","１　当社は、ウェブサイトのデザイン会社である。２　当社はサイバー被害等は受けてはいないが　、当社のクライアントが昨年ハッキング被害を受け、更に本年は、ウェブサイトをコピーされたりの著作権被害を受けた。
３　今後、クライアントがハッキングや著作権被害
等を受けないための技術的対策を教えてもらい、クライアントを安心させたい。",,"１　Webページをコピーされるような著作権被害等を受けないための技術的な対策はない。
２　著作権被害を受けた

場合の法律的な相談をする場所として、法テラス（日本司法支援センター）やハッキング被害等の一般的なセキュリティ対策については、ＩＰＡセキュリティーセンターに相談すること。更に、クライアントに対し、被害事実関係を管轄警察署に相談することが重要であること等を教示した。",「クライアントを安心させたい」との意向で当窓口に来庁されても、結局、専門の窓口を紹介することになりそうなので、適切と思われる窓口を紹介した。,,,,,
113,97,2,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,サイバー攻撃を検知する手段について,"自社内で数台のパソコンを運用しており、それぞれにウィルス対策ソフトを導入しているが、本日のセミナーでサイバー攻撃のデモを見て不安になった。
ウィルス対策ソフトで攻撃の検知ができるか知りたい。
また、そのほかの対策手段を教えてほしい。",,"ウィルス対策ソフトは有効ではあるが、最新のウィルス等には対応できない場合もある。
また、機能によっては攻撃のログを把握できない場合もある。
社内ネットワークに侵入検知装置などの導入を検討し、ネットワーク全体のセキュリティを高めることを助言した。",,,,ガイドブックP.50,,
114,116,2,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,クラウドサービス（AWS)利用に関してセキュリティ上の注意点について問合せ,"現在利用している業務パッケージシステムを見直し個別の業務システムを構築している。
今後システムをクラウドサービスへ移行（ＰａａＳ）を計画している。
クラウドサービス環境下でのセキュリティ上の考慮点について教えて下さい。
クラウドサービスへの接続予定端末約20台。
尚、今回は従業員のスマートフォンよりクラウドサービスへのアクセスを予定している。",,"クラウドサービス利用に関する一般事項について「サイバーセキュリティ経営ガイドライン解説書」ＩＰＡを紹介。
クラウドサービス業務全般のセキュイティ対策に関してはＩＴ専門家への問合せを要請し中小企業振興公社総合相談窓口（ＩＴ相談）を紹介した。",,,,ガイドブックP.122,,
115,119,3,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,東京都の補助金を受けられるか。,リスコンでもらったウェットティッシュを見て電話した。無線ＬＡＮの構築を検討しているがＵＴＭを勧められているのだが費用面できつい。従業員は２名。,,回答：無線かどうかはセキュリティ面で関係はない。従業員が２名ならば、ＵＴＭは過大な設備。無線ＬＡＮの暗号化とパスワード設定をきちんと行えばまずは十分。また、アンチウィルスソフトが入っているなら、その更新をきちんを行えば、最低限の対策にはなっている。,,,,ガイドブックP.56,,
116,126,2,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,使用しているパソコンの動きが悪いので、新しいシステムにした方が良いのかどうか教えてもらいたい。,"１　当社は、書籍出版会社である。
２　社内で、ウインドーズとマックのパソコン２台を使用している。
３　パソコン２台とも動きが悪い。何かのウイルスに感染して動きが悪いのか、ただ単なるシステム上なのかどうか原因が分からない。
４　原因について、ＩＰＡやパソコンメーカーに問い合わせたところ「動きが悪いだけでは、ウイルスに感染したかどうかは分からない。動きを速めるには、システムを新しくした方が良い。」との回答であった。
５　ＩＰＡやパソコンメーカーが言うように、システムを新しくした方が良いのか教えてもらいたい。",,"１　パソコンの動きが悪いだけでは、ウイルスに感染しているかどうかは分からない。
２　動きが悪い原因を解決するには、パソコン会社に直接原因を検査してもらうこと。
３　新しいシステムを導入するには、費用もかかるので、費用をかけても動きを速めたいのかを比較し、判断すること。４　ウイルス感染に係らず、必ず重要なデータは、バックアップしておくこと。
５　ウイルス感染対策として、最新のウイルス対策ソフトを更新することや不審なメール、ＵＲＬ添付ファイルを開かないことなどが大切である等を教示した。　",,,,ガイドブックP.48,,
117,131,2,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,ウイルス対策等のため、ＵＴМを導入した方が良いのかどうか教えてもらいたい。,"１　都庁ウェブサイトの「中小企業向けサイバーセキュリティー対策の極意」を読むと、ＵＴМを導入することで、外部への情報漏えいや被害拡大を防げる等と記載されている。
２　当社も、、ＵＴМを導入した方が良いのかどうか教えてもらいたい。",社内使用のパソコンは、５台。,"１　ネットワークとインターネット網との間の出入り口部分に、ＵＴМを導入することで、二重にセキュリティーを強め、外部への情報漏えいや被害拡大を防ぐことは出来ますが、ＵＴМを導入するには費用がかかります。
２　ＵＴМを導入するセキュリティー対策費用が、セキュリティー侵害による想定被害額を上回る場合の費用対効果を考慮に入れ、ＵＴМを導入するか否かを判断するよう教示した。",,,,ガイドブックP.56,,
118,132,3,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,"個人情報保護を強化する為に業者から勧められＦＷとサーバを購入した。
月額３万のリース契約。
費用的について適正であるか知りたい。","個人事業主として社会保険労務士をしています。
使用ＯＡ機器としてＰＣ１台を設置。
業務処理上、個人情報を多く保管しています。
最近業者に勧められファイアオールとサーバを個人情報保護環境を強化するために購入（リース）しました。
月額費用は概算３万/月発生しています。
費用面での一般的に適正であるか知りたい。",,"機器の購入費用についてその妥当性を
検証するのは難しい。
一般的な中小企業のＯＡ機器（セキュリティ対策を含む）の投資（費用）についての検証は専門家の判断が必要。
中小企業振興公社の経営相談窓口を紹介した。",,,,ガイドブックP.56,,
119,133,2,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,システムのクラウド化についてアドバイスしてほしい,"会社で職員の個人情報を管理している。
現在はネットワーク上のハードディスクに、定期的にバックアップを行っている。
今後、クラウド上にバックアップすることを検討しているが、効果はあるか。",,"バックアップの手段は多い方がよい。
資金に余裕があるなら、検討してみてもよいと思われる。

また、ネットワーク上のバックアップ先については、常時接続しておくと攻撃を受けた時に被害に遭う可能性がある。
バックアップの際以外はネットワークから切り離すようアドバイスした。",,,,ガイドブックP.122,,
120,157,2,02.全般的なサイバーセキュリティ対策の相談,013.技術的対策,スマホにもウイルス対策ソフトをインストールすべきか？,MVNOの格安SIMを使って経費を押さえているので、有料のウイルス対策ソフトは入れたくない。,,"・スマホであっても、ウイルスは存在し、また、問題のあるサイトへのアクセスも遮断することが望ましい。
・大手キャリアとの契約であれば、キャリアのサービスで、「安心パック」のようなものがある
・アプリの正規ストアで、無償のウイルス対策アプリも存在する。アプリの推奨はできないが、ウェブでの評判を参考にしてはどうか",,,,,,
121,66,4,02.全般的なサイバーセキュリティ対策の相談,015.緊急時対応,サイバー攻撃の被害届について,"サイバー攻撃の訓練シナリオを作成中です。
シナリオとして、サイバー攻撃を受けたが、情報流失はない。このケースは、被害届は出す必要があるのか？、判断を教えて下さい。",,具体的事象が確認できないので、所轄警察暑は、サイバー攻撃被害の相談として対応が可能と説明。,,,,ガイドブックP.133,,
122,84,3,02.全般的なサイバーセキュリティ対策の相談,018.セキュリティ人材確保,"システム管理者が不在です。
可能なセキュリティ対策について教えてください。","ＰＣ環境で６０台程度運用している。
システム運用については、ベンダーと保守契約中です。
セミナーで学んだランサムウェア等の対策は難しいです。",,"ベンダーとのシステム保守契約に関してセキュリティ対策項の再確認を依頼した。

今後のシステム運用（安全性）については、クラウドへの移行も含めてシステムベンダーと検討を進めた。",,,,ガイドブックP.79,,
123,60,1,02.全般的なサイバーセキュリティ対策の相談,04．情報漏えい全般,不正アクセスにより、顧客情報４万～５万件が情報漏えいされたが、対応策等について教えてもらいたい。,"１　本日午前１０時ころ、不正アクセスにより、ホームページを改ざんされ、顧客情報である、住所・氏名・生年月日・性別・電話番号・メールアドレスが４万～５万件が、２チャンネルに書き込まれたことを確認した。
２　顧客のクレジットカード番号は、取り扱っていないので、幸い情報漏えいはされていない。
３　最初に、２チャンネルに書き込まれた時期は分からないが、不正閲覧された日時は、本年元日の午後４時ころです。
４　他の社員が、管轄警察署である目黒警察署に被害届を提出に向かっているところです。
５　今後の対応策等を教えてもらいたい。　","１　社内所有のパソコンは、１５０台。
２　パソコンの管理レンタル会社は、ＫＤＤＩ系列のＣＰＩ（シーピーアイ）。","警視庁サイバーセキュリティー対策本部に即応した結果、対応策等すべて、同対策本部で処理することを確認済。
　　",,,,"ガイドブックP.133
ガイドブックP.48",,
124,68,4,02.全般的なサイバーセキュリティ対策の相談,04．情報漏えい全般,他社に、個人情報を委託管理してもらう場合の注意点を教えてもらいたい。,"１　他社が所有する採用面接用の動画である個人情報データを管理及び処理しているインターネット会社を営んでいる。
２　当社が、前記データを他社に一部管理委託したいと考えているが、その場合、どのようなことを注意して委託すれば良いか教えてもらいたい。",,"１　他社に対し、個人情報データを管理委託させる場合の注意すべきこと等については、政府機関であるＮＩＳＣ（ニスク）を参考にすること。
２　その他、一般的な情報セキュリティ相談をする場合、ＩＰＡ（アイピーエー）セキュリティ相談窓口があるので参考にすること等を教示した。",,,,ガイドブックP.79,,
125,69,2,02.全般的なサイバーセキュリティ対策の相談,04．情報漏えい全般,サイバー攻撃から、個人情報の流出を防ぐため、セキュリティ対策をした方が良いのか教えてもらいたい。,"１　３月１７日、品川区中央会主催のサイバーセキュリティ対策セミナーに参加した。
２　その際、警視庁サイバー犯罪対策課から配布されたチラシなどに「サイバー攻撃から個人情報の流出を防ぐため、最新のウイルス対策ソフトを入れるなど、セキュリティ対策に力を注いぐこと。」等の記載がありました。
３　当社も、個人情報を取り扱っているので、セキュリティ対策をした方が良いのでしょうか教えて下さい。",,"１　最近サイバー攻撃により、個人情報流出被害を受けた報道を耳にします。
２　個人情報の流出を防ぐため、セキュリティ対策は重要ですが、その対策としての費用がかかります。また、対策をしたからといって、サイバー攻撃から完全に防御できるということは無いということも頭の片隅に置いて下さい。
３　対策をしないより、対策をした方が良いことは間違いない事ですが、被害を受けた場合のリスクと対策費用との兼ね合いがあると思いますので、経営者と良く相談をして判断して下さい。　",,,,ガイドブックP.79,,
126,125,1,02.全般的なサイバーセキュリティ対策の相談,04．情報漏えい全般,インターネット上に、私自身の個人名と経歴が流出しているので、その削除方法等を教えてもらいたい。,"１　私は、企業等ではなく、単なる個人の者です。
２　以前会社の役員として在籍していたが、現在は、会社の役員を辞めている。
３　会社の役員として在籍していた時の私自身の個人名と経歴が、アキームという無関係なサイトに流出している。
４　アキームというサイトから流出している個人名や経歴を削除したいが、良い方法を教えてもらいたい。",,"１　アキームというサイト側に対し、無断で流出している個人名や経歴を削除してもらうよう依頼すること。
２　流出により被害を被った場合は、住居を管轄する警察署に被害届を提出すること。
３　一般的な情報セキュリティー相談として、ＩＰＡセキュリティーセンター安心相談窓口があることを併せて教示した。",,,,"ガイドブックP.133
ガイドブックP.48",,
127,55,4,02.全般的なサイバーセキュリティ対策の相談,09.参考情報,相談窓口でサイバーセキュリティ関係の資料閲覧及び入手できますか？,個別の相談案件ではなく、資料があれば閲覧したい。（特殊詐欺等含む）,１２月４日朝日新聞記事より相談窓口を知った。,"サイバーセキュリティ関係の閲覧資料は、現在保管していない。
相談案件であれば、内容により関係機関へ紹介は可能です。","12/7 16:10 相談窓口来庁
サイバー関係の資料（シンポジウムでの配布資料）を交付。
その他、仕事上心配なことがあるとのことであったが、サイバー以外の件は警察署の生活安全課に相談するように教示。相談者納得して帰宅。",,,,,
128,98,2,02.全般的なサイバーセキュリティ対策の相談,09.参考情報,信頼のおけるセキュリティベンダーを教えてほしい,"個人で使っているWindowsＰＣに、ウィルス対策ソフトの導入を考えている。
セキュリティベンダーで、東京都と付き合いがあるような信頼できる企業を教えてほしい。",,"都の公平性の観点から、特定の企業を紹介することはできないが、大手のセキュリティベンダーであれば、付き合いのある企業は多い。
まずは、一般的に知られているようなベンダー製のウィルス対策ソフトを検討し、導入を検討するよう教示した。",,,,,,
129,74,4,09.その他,01.相談窓口について,サイバーセキュリティ相談について,サイバーセキュリティ相談窓口の対応範囲について教えて下さい。,,"サイバーセキュリティに関する中小企業支援策について、事前相談が中心になる。

セキュリティ被害発生時については、相談内容により各専門窓口の紹介が中心になる対応を説明。",,,,,,
130,158,4,09.その他,01.相談窓口について,相談したのにたらいまわしにされた,"友人のＥＣサイトが成りすましの被害に遭った。
私が代わりに警察に電話したところ、対応できないと言われ、代わりに東京都の何課だか忘れたが、相談窓口の電話番号を教えてもらった。
相談窓口に電話し、資料を持って直接窓口に赴くことを告げたところ、「窓口対応はしていないので来られても困る。」と言われた。
警察や都では、一体何をしてもらえるのか。",,"相談者に対し、おそらくであるが、相談受理者は被害に遭った本人を交えて相談に来るよう申し向けたと思われることを説明。
警察でも窓口でも、本人が直接話をする方が内容が通じやすいことを説明したところ、相談者は「わかりました、今後そうします。」等と言って立ち去った。",,,,,,
131,16,4,09.その他,02.セミナー依頼,東京本部において、ランサムウエアの講習を実施してもらいたい,"新晃株式会社は、大阪府大阪市内に本社があり
支店として都内中央区浜町に東京本部を設置している。最近ランサムウエアのニュースを良く耳にするので、東京本部において、ランサムウエアに関する講習をしてもらえないか。",,警視庁サイバーセキュリティ対策本部に連絡した結果、警視庁で対応する旨の回答あり。,警視庁サイバーセキュリティ対策本部市川警部補に連絡済み。,,,,,
132,22,3,09.その他,02.セミナー依頼,サイバーセキュリティ研修に関して,"社内セミナー（研修会）での講師派遣につい依頼可能ですか？

セミナー内容は、スマホ携帯端末の使用についてセキュリティ上の観点から従業員に注意点を
教えてほしい。",,"依頼内容はスマホ等携帯端末のセキュリティ注意事項に関することであった。

スマートホンセキュリティに関する講師派遣は難しい。
簡易資料があれば利用したいとの希望があり、ＩＰＡのスマートホンセキュリティ資料を紹介し了承を得た。",,,,,,
133,40,4,09.その他,02.セミナー依頼,サイバーに関する講演をお願いしたい。,"１　来年２月に日本画像医療システム工業会の傘下会員に対し、サイバーに関する講演を予定しているが、その際、是非講演をお願いしたい。
２　講演に関する内容等については、今週水曜日午前１１時、直接都庁に出向き、担当者と会って説明をしたいと思います。",,"渡邊課長代理が、１１月１６日午前１１時００分から相談者と面談予定。

同日面談の結果、Tcyssにて講演する方向で検討開始。警視庁連絡ずみ",,,,,,
134,50,4,09.その他,02.セミナー依頼,会員に対するサイバーセキュリティーに関する講演をお願いしたい。,"１　最近、ランサムウエアなどのサイバー被害を報道等で耳にするので、当会員がサイバー被害等に遭わないため、その事前対策として、是非サイバーに関する講演をお願いしたい。
２　日程等については、おまかせしたいのでご検討をお願いしたい。",,"１　当局の方で、ティーサイスメンバーである警視庁サイバーセキュリティー対策本部に講演依頼をします。
２　日程等については、警視庁サイバーセキュリティー対策本部から相談者宛てに連絡をしてもらうので、その際日程等の調整をしていただきたい。",警視庁サイバーセキュリティー対策本部に連絡済み。,,,,,
135,76,4,09.その他,02.セミナー依頼,情報セキュリティセミナーでの講演依頼,"　相談者の会社は京都に所在するが、東京都内に複数の取引先があり、セキュリティ関連新製品の開発を機に、都内でセキュリティセミナーを実施している。
　Ｔｃｙｓｓや警視庁にセキュリティセミナーに参加してもらい、講演をしてもらうことは可能か。",,警視庁に連絡の上、対応チームに引き継いだ。,,,,,,
136,82,4,09.その他,02.セミナー依頼,ランサムウェアに対する講演依頼。,"１　当推進部は、中小企業ユーザー会員に対し、パソコンやコピーを販売推進している。
２　最近、中小企業ユーザー会員が、ランサムウェア被害にあっている。
３　ランサムウェア被害にあった会員を含め、被害にあっていない会員は、ランサムウェアの怖さやサイバーセキュリティーの重要性に欠けている。
４　ユーザー会員１００名～２００名を集め、ランサムウェアに対する講演を開催予定しているので、その際是非ランサムウェアの脅威等について講演を頂ければと思い足を運んだ次第です。","講演予定
　日時　今年１１月７日火曜日、
　場所　港区港南２－１６―６　キャノンＳタワー","１　ランサムウェアやサイバーセキュリティーに関する講演により、ユーザーのランサムウェアに対する認識が向上すれば、被害にあう機会もへるので良い試みだと思います。
２　警視庁とも検討の上、講演に対応できるよう努めたい。","6/26追記
警視庁CS本部で講師を派遣することとなった。
相談者連絡済。",,,,,
137,99,3,09.その他,02.セミナー依頼,社内セミナー開催時、情報セキュリティ関係の出前講師を派遣してほしい。,"9月に開催予定の社内セミナーにセキュリティ関連の講話を予定しています。
新聞記事に多く取り上げられる「ランサムウエア対策等」のセミナー講師の派遣を要請したい。",,"警視庁サイバーセキュリティ対策本部窓口へセミナー講師派遣を依頼。
※8月8日現在対策本部にて調整中。",,,,,,
138,106,4,09.その他,02.セミナー依頼,講演依頼,"弊社主催で、提携会社を２０社集める勉強会で講演をしてほしい。

日時は、平成２９年１０月５日（木）１３～１７時で、１５分から３０分ぐらいでお願いしたい。
場所は、サンシャイン文化会館７階　会議室７０８号です。

当日は情報管理や品質管理などの話を中心とした内容で、５０名ぐらいの参加となります。",,講演依頼として、警視庁ＣＳ本部に引き継いだ。,,,,,,
139,114,4,09.その他,02.セミナー依頼,セミナー開催依頼,三菱ふそう自動車のサプライヤー（部品メーカー）からなる協同組合の事務局をやっているが、組合員である経営者向けに、サイバーセキュリティに関するセミナーをやってほしい。,,警視庁に連絡し、セミナー開催を依頼した。相談者にも連絡済。,,,,,,
140,135,2,09.その他,02.セミナー依頼,セミナーを依頼することはできるか,"自社の加入している組合で、サイバーセキュリティセミナーを開催しようと考えている。
Ｔｃｙｓｓから講師を呼ぶことはできるか。",,"具体的な予定が決まれば、警視庁と協議して講師派遣をする。
予定が固まり次第、また連絡するとのことであった。",,,,,,
141,149,2,09.その他,02.セミナー依頼,セミナーを開催してもらいたいが、条件はあるか。,"警備会社で勤務している。
社内でサイバーセキュリティについて周知する必要があると考えている。
社内なので小規模になってしまうが、Ｔｃｙｓｓに依頼すればセミナーをやってもらえるのか。",,"以下の二点を教示。
・Ｔｃｙｓｓに加入している警視庁で、個社に対するセミナーも随時行っている。
・事務局に連絡してもらえれば、警視庁に連絡して調整するので、遠慮せず連絡してほしい。",,,,,,
142,75,4,09.その他,03.ガイドブック等の入手、活用,第二回Ｔｃｙｓｓセミナー資料の入手について,"社内教育用に当日のセミナー資料（ＯＨＰ電子媒体）を入手したい。
又他のセキュリティ教育用資料の配布は行っていますか？",,今回のセミナー資料（ＯＨＰスライド）については、一般公開（配布）は行っていないので、セキュリティ教育用資料に関してはＩＰＡのホームページを案内した。,,,,,,
143,124,5,09.その他,03.ガイドブック等の入手、活用,都庁発行のサイバーセキュリティーガイドブックを頂くことができるか。,"１　当社の本社は、広島県福山市にあるが、支店は、東京都内にある。
２　本社でも都庁発行のセキュリティーガイドを頂けるのか教えてもらいたい。",,"１　本社に配ることは出来ません。
２　支店が都内にあるので、支店の方から、コールセンターに電話をし、支店の方に郵送してもらうことはできます。
３　受付け開始は、１１月１５日水曜日からで、無料配布となります。",,,,,,
144,136,4,09.その他,03.ガイドブック等の入手、活用,「サイバーセキュリティ対策の極意」送付について,"突然小冊子が送られてきた（光村商事倉庫株式会社）
入手を要求していないので、送付理由を知りたい。",,"匿名でのクレーム。
東京都中小企業振興公社の送付経由を説明したが納得せず。
今後について送付台帳から抹消を要求するが氏名、住所を表明しない。
今後この様な郵送物は不要と発言し電話を切られた。
※送付台帳の電話番号より送付先確認済。",,,,,,
145,137,5,09.その他,03.ガイドブック等の入手、活用,ガイドブックＰＤＦを自社内で活用したい,"毎度お世話になっております。東京東信用金庫でサイバーセキュリティを担当する中川と申します。
先般御課で発行しました「中小企業向けサイバーセキュリティ対策の極意（以下、本書という。）」についてご相談させていただきたくご連絡いたしました。

本書について、当金庫セキュリティチームで拝見し、大変わかりやすくかつ敷居が高くない物だと認識しました。

本書は東京商工会議所等の会員へ配布されるとＨＰで拝見しました。当金庫の多くのお取引先にも届くものと推察しております。当金庫では金庫内のサイバーセキュリティ対策において、職員の知見を深める一環ためにｅラーニングなどを活用して学習をしております。

また、お取引先がインターネットバンキング取引を始めたいとお申し出いただいた際には、、セキュリティが確保された環境下のお取引先のみ、受諾させていただいております。

その様な状況下において、今回の配布に伴い、お取引先とのセキュリティについての会話の中で、配布された本書の内容に触れられた際に、「読んでおりません」「把握しておりません」というのも問題があると認識しております。

そこで、ＨＰで配布されているＰＤＦについてイントラ環境のｅラーニングシステムで適量に分割して、内容を本部・営業店に学習させようと企画しております。
つきましては、２次利用のご許可をいただくためには、どのような手続きが必要かご教授ください。都庁へ参上することも問題ありません。

地域のサイバーセキュリティ向上に当金庫も一助となりたいと考えております。是非、前向きなご回答をお願いできれば幸いです。",,"ＰＤＦの使用については許可は必要ない。
・営利目的に使用しないこと
・東京都の作成物であることを明記すること
以上を守るよう教示した。",,,,,,
146,2,4,09.その他,04.セキュリティ対象外,サイバー空間てなんですか？,２６日の新聞読んだんですけど、産業労働局長が話していた「サイバー空間の安全」のサイバーってなんですか？,,インターネットなどでつながったネットワーク上の空間のことです、と答えると無言のまま電話を切った。,,,,,,
147,33,4,09.その他,04.セキュリティ対象外,契約締結の際、印鑑証明や謄本をメールで送信しても悪用されたり、何らかの被害を受けないか教えてもらいたい。,"１　会社で、今後クレジットカードにより代金を回収するために「楽天ペイ」と契約したいと考えている。
２　契約に際し、楽天から「法人の場合、印鑑証明と謄本をメールで送信して欲しい。」と言われたが、印鑑証明や謄本など重要な物をメールしても悪用されたり、何らかの被害を受けないか教えてもらいたい。",会社を経営しているが、会社名等については匿名にしたい。,１　楽天ペイの担当山口宛て問合せた結果、当山口から「法人との契約締結に際し、事務手続きの簡略等から、印鑑証明と謄本をメールでもらっている。」との回答を得、メールに関する内容等についての問題はないことを確認した。２　今後、メールに関する内容等について、トラブルが発生した場合は、消費者ホットライン「１８８番」に相談するよう教示した。,,,,,,
148,34,4,09.その他,04.セキュリティ対象外,近隣の方からいじめを受けている,"近所の複数人の方から、悪口等のいじめの行動をとられている。メールで嫌がらせメールも届く。
息子も職場でいじめられている。
近くの交番に度々届けるが、最近は聞いてもらえない。所轄の高尾署にも出向いたが、何もしてもらえない。あまり相談すると申し訳ないとも思ってる。",,"嫌がらせメールに関しては、対処療法としてフィルタリングすることにより止められるが、本質的な解決にはならない。
相談先として、日本法令支援センター（法テラス）および、再度、高尾署に相談することを勧めた。",,,,,,
149,112,4,09.その他,04.セキュリティ対象外,Ｗｅｂアンケート代行業者（㈱ボイスノート：豊島区池袋）より不明な請求について,"㈱クリエイテイブジャパンの関連会社ボイスノート社とＷｅｂアンケートの委託契約（保証金5万）しました。
Ｗｅｂアンケートの仕組みよりネット回答した人に
はポイントを付与します。
回答数の上限を決め基準値を超えた場合には、費用が追加発生します。
９月２５日～２９日の期間で当社にアンケート回答基準値超えの請求書が送付されました。
短期間での請求に不審感があります。
ネット上の詐欺としての相談対応はできますか教えてください。
※消費生活センターから中企業振興公社を紹介され、都のサイバーセキュリティ相談窓口へ再紹介されています。",※㈱クリエイテイブジャパンはＷｅｂアンケート等の中堅会社,契約内容による判断は難しいので、所轄の警察暑又法テラスを紹介した。,,,,,,
150,115,4,09.その他,04.セキュリティ対象外,ネット広告会社との契約に不審感がある。,"インターネットアンケート広告会社と契約をした。
保証金5万　月間費用　5万　6ヶ月期間契約。
内容：広告会社が商品のアンケート依頼と購入マーケット展開を行う。

毎月のアンケート回収率や商品購入促進に関する作業が不透明のため、担当営業に連絡を取るが回答がない。
費用面で広告アンケート回収集計作業に不審がありクレーム(広告依頼主へのネット詐欺）をした。
ネット上で当該アンケート広告会社への非難が多く掲載されている。
ネット広告詐欺としての処置ができないか。

※相談者から対象会社名は㈱クリエイトジャパンとの報告があった。",㈱クリエイトジャパンのネット広告アンケート業務に関するクレーム相談を前月に1件登録済。,"契約に関する事項であり相談窓口では判断できない。
所轄署及び法テラスへの相談を進めた。",,,,,,
151,19,4,09.その他,05.電波系,インターネットに接続していないのに、遠隔操作できる方法を教えてもらいたい。,"自分が会社で使用しているパソコンは、インターネットには接続していないが、パソコン上に他人から書き込みされていることがある。インターネットに接続していなくても、遠隔から他人のパソコンに書き込みをする方法があると思うが、その方法を教えてもらいたい。会社名は匿名にしてもらいたい。

【8月15日再電話相談】
・５～６年前から使用ＰＣ２台、昨年購入１台
で業務に使用。現在はインターネット接続環境はない。（ＯＳバージョン未調査）
・ネット回線は、ＩＳＤＮ利用時（現光ネット回線）にインターネット接続が可能であった。
・その他、個人保有ＰＣ１台（「Windows８）無線ルータ接続ＷｉＦｉ有る。
・従来より使用してる（５～６年前より）ＰＣが外部接続さ、そのＰＣ保管データが盗まれている様子。
・ＩＳＤＮ回線（ＮＴＴ）使用時より同様な問題があった。","・古いＰＣに無線Ｌａｎ環境、及びＷｉＦＩネットワークカード等のインターネット接続機器は設定されていない。また外部から直接不正にＰＣを操作してデータを搾取さていると主張しているが、具体的根拠が曖昧であった。
・共有ファイルへの外部から不正アクセスを可能とするシステム構成ではない。
・問い合せ時に「データへの不正アクセス」対応としてＮＴＴ回線をＩＳＤＮから光へ変更との説明があつたので、ＮＴＴ相談窓口への再確認を依頼。","１、インターネットに接続していなければ遠隔からの書き込みはできないし、遠隔から書き込みする方法もない。
２、インターネットに接続の有無について、わかる人が、再確認をした後、再度電話するとのこと。","組織内に数台のPCがあり、何らかの形でLANには繋がっているようだ。
再度の連絡は1週間後になるかもしれない。",,,,,
152,30,2,09.その他,05.電波系,インターネットに接続している冷蔵庫とテレビの電源等が故障しているのどうしたらよいか教えてもらいたい。,"１　パソコンは正常に使用できるが、インターネットに接続している冷蔵庫とテレビの電源等が故障したので、電気屋に修理をしてもらったが、それでも冷蔵庫の電源やテレビの前を通るとザーという雑音がする状態である。
２　冷蔵庫とテレビの故障を直すにはどうしたら良いか教えてもらいたい。",,"１　パソコンが正常に使用できる状態であり、インターネット上何ら問題はないと思料される。
２　冷蔵庫の電源やテレビの雑音等の故障については、各メーカーに相談又は再度修理してもらうこと。
３　盗聴器が設置されているようであれば、管轄警察署に被害届を提出するよう教示した。",,,,,,
